transaction_id,account_id,transaction_date,transaction_time,transaction_type,amount,currency,channel,status,description,beneficiary_acc,reference_number
TXN0000000050,ACC00000488,2025-09-02,15:19:32,DEBIT,96209.0,INR,ATM,SUCCESS,Mutual Fund SIP,832356403636,5LB88ODRW3DF7F5H
TXN0000000051,ACC00000835,2024-12-20,01:59:24,CREDIT,272065.54,INR,ATM,SUCCESS,ATM Withdrawal,,D0XPMM5QG698YPTT
TXN0000000052,ACC00000459,2025-09-30,07:35:22,CREDIT,347548.58,INR,RTGS,SUCCESS,Bill Payment,,4BATJIXL5V3BEBYC
TXN0000000053,ACC00000069,2025-11-02,03:05:33,DEBIT,111763.72,INR,BRANCH,SUCCESS,Bill Payment,862371125211,LQRGIXS8FO5WDU4U
TXN0000000054,ACC00000774,2025-04-18,11:20:28,DEBIT,128024.96,INR,BRANCH,SUCCESS,Salary Credit,183279763129,D5524WMOQ29L9AWW
TXN0000000055,ACC00000364,2023-03-06,09:34:41,DEBIT,32022.71,INR,NEFT,FAILED,Mutual Fund SIP,225312904787,7GNIHQJ3171W6UUP
TXN0000000056,ACC00000041,2023-07-22,03:05:26,CREDIT,351259.12,INR,MOBILE_BANKING,SUCCESS,UPI Transfer,,7JKYDDNR8QFHEAT7
TXN0000000057,ACC00000077,2024-03-16,14:17:04,CREDIT,323886.06,INR,RTGS,SUCCESS,Interest Credit,,PJPE7PXAJ458GH45
TXN0000000058,ACC00000494,2023-09-01,13:59:02,DEBIT,173332.77,INR,UPI,SUCCESS,Salary Credit,645462738079,3G2H0J3N9KFWJU1H
TXN0000000059,ACC00000143,2024-08-08,14:17:22,DEBIT,126961.03,INR,NET_BANKING,SUCCESS,Cash Deposit,123413048130,89VXSIP7PP7WI7UQ
TXN0000000060,ACC00000667,2025-09-29,06:26:09,DEBIT,114612.29,INR,NEFT,SUCCESS,Mutual Fund SIP,359344220440,MIG3O33AMRDEVJP5
TXN0000000061,ACC00000600,2023-01-16,10:42:31,CREDIT,337246.73,INR,ATM,REVERSED,Interest Credit,,3JUVDLE84NHW35IN
TXN0000000062,ACC00000181,2025-02-09,12:52:31,CREDIT,385438.14,INR,MOBILE_BANKING,SUCCESS,Cash Deposit,,F9ZH03HXXI027CWF
TXN0000000063,ACC00000142,2026-02-08,02:30:02,DEBIT,83518.33,INR,NET_BANKING,SUCCESS,NEFT Transfer,777844582031,LXF4XYPG34R01XIJ
TXN0000000064,ACC00000718,2024-05-08,11:11:25,CREDIT,412558.18,INR,NET_BANKING,SUCCESS,Interest Credit,,T6OV6R6W9YH35T3U
TXN0000000065,ACC00000521,2025-07-13,12:03:41,DEBIT,161720.76,INR,UPI,SUCCESS,NEFT Transfer,823539493668,27FKNGEYOBL4E77X
TXN0000000066,ACC00000564,2024-01-26,07:52:47,CREDIT,188020.08,INR,RTGS,SUCCESS,Mutual Fund SIP,,S62LP9LHTILL1K2B
TXN0000000067,ACC00000165,2024-09-03,02:51:49,DEBIT,26428.28,INR,IMPS,SUCCESS,Fund Transfer,954570831537,OPGPNTS9EN2EQZ38
TXN0000000068,ACC00000256,2023-04-21,23:13:29,DEBIT,134933.58,INR,NEFT,SUCCESS,Rent Payment,709958942409,ZD10X5QMR4HJ5KQ4
TXN0000000069,ACC00000359,2023-01-22,15:14:30,CREDIT,92179.99,INR,IMPS,REVERSED,Mutual Fund SIP,,NIXQOCL0LIZ0VEV0
TXN0000000070,ACC00000035,2023-02-06,06:52:51,CREDIT,378906.32,INR,RTGS,SUCCESS,Interest Credit,,9MV9Q80YVOAEG3FM
TXN0000000071,ACC00000523,2023-05-03,21:14:17,CREDIT,216650.83,INR,MOBILE_BANKING,SUCCESS,EMI Debit,,TN4EZY9RE8DSZ8P3
TXN0000000072,ACC00000033,2023-02-07,04:53:35,DEBIT,111238.57,INR,IMPS,SUCCESS,EMI Debit,570813357336,QCW8P78U94JCGLVE
TXN0000000073,ACC00000558,2024-08-29,18:08:37,CREDIT,245150.48,INR,MOBILE_BANKING,FAILED,Salary Credit,,CRLEOJ1A1AZZ3MQ3
TXN0000000074,ACC00000122,2024-05-17,15:59:45,CREDIT,25104.32,INR,NEFT,SUCCESS,Salary Credit,,HLVE0J056FQGLBGI
TXN0000000075,ACC00000557,2025-09-26,20:06:23,CREDIT,454427.3,INR,NET_BANKING,SUCCESS,ATM Withdrawal,,41579NSBIQDCGRYG
TXN0000000076,ACC00000594,2023-01-28,12:33:30,CREDIT,136192.19,INR,NEFT,FAILED,NEFT Transfer,,QH4NMUUMVTBDOM4D
TXN0000000077,ACC00000430,2023-02-02,21:30:12,CREDIT,218426.35,INR,UPI,SUCCESS,Online Shopping,,MX9RK4JSDEGAFTUB
TXN0000000078,ACC00000337,2025-04-24,18:38:42,DEBIT,41298.83,INR,UPI,SUCCESS,UPI Transfer,902855928594,GRKUMFUWRLKGCRZJ
TXN0000000079,ACC00000682,2023-02-18,16:45:42,DEBIT,76419.67,INR,NET_BANKING,SUCCESS,NEFT Transfer,930454612104,J9P65QW4TV9QXE7D
TXN0000000080,ACC00000120,2025-02-01,19:19:15,CREDIT,479404.53,INR,NET_BANKING,SUCCESS,Cash Deposit,,B0GCQ56VEIJOJEU0
TXN0000000081,ACC00000212,2023-04-22,02:33:19,DEBIT,2714.81,INR,ATM,SUCCESS,Interest Credit,004243037652,44N50TM850OR35T5
TXN0000000082,ACC00000237,2023-10-18,18:11:23,CREDIT,232649.36,INR,MOBILE_BANKING,FAILED,Loan Disbursement,,XBCKP43IEQV7BE72
TXN0000000083,ACC00000040,2023-09-29,19:57:54,DEBIT,61323.62,INR,NEFT,REVERSED,Mutual Fund SIP,735406673194,DWMCQR3UHSIX25LB
TXN0000000084,ACC00000215,2024-04-25,01:10:02,CREDIT,107074.26,INR,MOBILE_BANKING,SUCCESS,Salary Credit,,9P6IEMXHEHWCEEZ1
TXN0000000085,ACC00000577,2024-11-10,16:55:10,DEBIT,141930.69,INR,MOBILE_BANKING,SUCCESS,NEFT Transfer,205178112067,QD9BGKRJJT7JBEGE
TXN0000000086,ACC00000591,2023-02-18,06:51:27,CREDIT,28626.51,INR,RTGS,SUCCESS,Insurance Premium,,92ZGGEBH8JAANM94
TXN0000000087,ACC00000692,2025-12-16,23:45:07,DEBIT,181866.04,INR,NET_BANKING,SUCCESS,Bill Payment,620782850877,W9YEJG13O9Y3QD2Y
TXN0000000088,ACC00000808,2023-10-26,15:47:31,DEBIT,123668.83,INR,RTGS,SUCCESS,NEFT Transfer,349590642580,NAGJMN2ODEPOZN39
TXN0000000089,ACC00000178,2024-08-30,18:09:40,DEBIT,113983.33,INR,UPI,SUCCESS,UPI Transfer,892472941016,R4TJILGL6NAAJN7J
TXN0000000090,ACC00000111,2023-10-31,00:49:31,DEBIT,2919.61,INR,RTGS,SUCCESS,Cash Deposit,752635165531,69R86IIP0K8WSRJH
TXN0000000091,ACC00000768,2023-07-28,18:11:49,DEBIT,174085.63,INR,NET_BANKING,SUCCESS,Insurance Premium,286837842084,3KSUKOE4TYUP2Q8I
TXN0000000092,ACC00000189,2023-01-28,05:00:14,DEBIT,140837.63,INR,MOBILE_BANKING,SUCCESS,EMI Debit,787076144237,2HN30BVMBPWZSWUT
TXN0000000093,ACC00000370,2023-06-28,09:29:14,DEBIT,54316.02,INR,NEFT,SUCCESS,Bill Payment,820112512846,UT3A28LUCWAXQ4T8
TXN0000000094,ACC00000016,2026-03-21,14:45:09,DEBIT,198180.08,INR,IMPS,SUCCESS,Interest Credit,847649190282,V4GVVSV635GST9ZY
TXN0000000095,ACC00000172,2023-02-26,07:14:06,CREDIT,303956.78,INR,IMPS,SUCCESS,Cash Deposit,,4BZ32FPV4Z4KUBZ8
TXN0000000096,ACC00000404,2024-04-27,13:05:10,DEBIT,162913.57,INR,BRANCH,REVERSED,Fund Transfer,575658809538,OG5LPPDF5ZC5YIBI
TXN0000000097,ACC00000755,2024-01-03,21:19:07,CREDIT,10841.04,INR,MOBILE_BANKING,SUCCESS,Loan Disbursement,,7CLHN77MO4AXQFOE
TXN0000000098,ACC00000594,2024-10-27,21:49:59,DEBIT,62742.16,INR,UPI,SUCCESS,Cash Deposit,381937648505,W7E5172H9SMOROP7
TXN0000000099,ACC00000207,2026-01-18,23:02:34,DEBIT,169099.55,INR,UPI,SUCCESS,Mutual Fund SIP,668091458403,9SLAM05LPTFEMWDE
TXN0000000100,ACC00000711,2023-09-13,03:00:02,CREDIT,418421.31,INR,BRANCH,SUCCESS,UPI Transfer,,QAUPRKT0M5FQMHZA
TXN0000000101,ACC00000714,2023-06-21,18:50:52,DEBIT,102540.94,INR,UPI,PENDING,Salary Credit,824233230395,N7VE2U1ZSCZ6BN0C
TXN0000000102,ACC00000292,2023-02-08,05:39:53,CREDIT,300946.12,INR,MOBILE_BANKING,SUCCESS,Loan Disbursement,,9JOCBKEP2G2BE6S5
TXN0000000103,ACC00000725,2025-08-12,02:40:06,DEBIT,164871.59,INR,NEFT,SUCCESS,Insurance Premium,250749785519,VUUFUAV8JN6SSE0S
TXN0000000104,ACC00000155,2023-12-08,02:13:26,CREDIT,98768.06,INR,NET_BANKING,FAILED,UPI Transfer,,BRR4HAF4P5RPDNEI
TXN0000000105,ACC00000756,2025-12-18,08:41:43,CREDIT,241089.0,INR,MOBILE_BANKING,SUCCESS,Insurance Premium,,PFCFLTPV9TE8V9OP
TXN0000000106,ACC00000591,2023-11-25,20:02:11,DEBIT,61466.17,INR,UPI,SUCCESS,FD Maturity Credit,341454243076,DNE6QXAKRSUEINDR
TXN0000000107,ACC00000608,2023-02-09,03:13:16,CREDIT,428418.02,INR,RTGS,SUCCESS,Online Shopping,,L2K1571KKMVRGNW6
TXN0000000108,ACC00000236,2024-02-11,09:34:50,DEBIT,108286.84,INR,UPI,SUCCESS,FD Maturity Credit,909636771108,2S5CCT5UEXKFROLV
TXN0000000109,ACC00000777,2024-12-16,19:36:21,CREDIT,188132.8,INR,MOBILE_BANKING,SUCCESS,UPI Transfer,,QOCYET5HYQPUSCLU
TXN0000000110,ACC00000035,2023-05-31,11:42:43,CREDIT,115866.64,INR,MOBILE_BANKING,SUCCESS,Cash Deposit,,7NP3S1DPFH22LJ0M
TXN0000000111,ACC00000797,2023-11-19,05:50:03,DEBIT,118985.32,INR,BRANCH,PENDING,Cash Deposit,499884656651,O6LN4Y5RMG1D2IZC
TXN0000000112,ACC00000228,2025-03-17,16:55:53,DEBIT,135411.07,INR,ATM,SUCCESS,ATM Withdrawal,227186155974,O9LC57OH955OQ8V9
TXN0000000113,ACC00000456,2026-01-21,15:56:51,DEBIT,110589.73,INR,MOBILE_BANKING,SUCCESS,Mutual Fund SIP,972948996530,G66JEXDFE0LM9ZG8
TXN0000000114,ACC00000631,2024-01-17,20:59:28,CREDIT,248127.39,INR,IMPS,SUCCESS,Bill Payment,,EK3J6GN7LCL6AFZN
TXN0000000115,ACC00000787,2023-05-08,01:29:41,DEBIT,81659.08,INR,NET_BANKING,SUCCESS,Rent Payment,946048207558,LZ08KT1IQZVB9SDC
TXN0000000116,ACC00000167,2026-01-13,06:42:09,CREDIT,348000.29,INR,UPI,PENDING,Online Shopping,,WUQFCZSK5BU6VH23
TXN0000000117,ACC00000396,2025-09-20,12:41:33,CREDIT,38979.75,INR,MOBILE_BANKING,SUCCESS,Fund Transfer,,N06ZNG1EFF2LZJ7L
TXN0000000118,ACC00000797,2023-07-31,12:23:20,DEBIT,60459.08,INR,IMPS,SUCCESS,NEFT Transfer,115054801183,5PW29QAOKRYE84A8
TXN0000000119,ACC00000390,2024-06-09,15:19:15,DEBIT,66980.56,INR,RTGS,SUCCESS,Cash Deposit,277771155288,UT6EU99N573L3RHE
TXN0000000120,ACC00000708,2026-03-05,11:44:25,DEBIT,147503.83,INR,UPI,SUCCESS,EMI Debit,513976505844,PBP02JZB6BWMQKGN
TXN0000000121,ACC00000280,2023-08-11,08:44:56,CREDIT,347096.55,INR,UPI,SUCCESS,Loan Disbursement,,4UP2BINDHUET2EHK
TXN0000000122,ACC00000331,2025-07-06,18:18:14,CREDIT,307070.59,INR,BRANCH,SUCCESS,UPI Transfer,,ZISWMRGCCQIKPD7K
TXN0000000123,ACC00000592,2023-04-16,08:56:54,CREDIT,272571.91,INR,IMPS,SUCCESS,Insurance Premium,,MPL6TRNPRU2Q69I8
TXN0000000124,ACC00000473,2025-08-10,18:47:22,DEBIT,71335.58,INR,MOBILE_BANKING,SUCCESS,Rent Payment,151353694711,CZJZWRP5VR5N9HIZ
TXN0000000125,ACC00000198,2024-07-24,18:24:53,CREDIT,324719.75,INR,ATM,PENDING,Fund Transfer,,BW5C6UOO98EX4TN6
TXN0000000126,ACC00000029,2025-10-15,20:18:50,CREDIT,120269.31,INR,ATM,SUCCESS,NEFT Transfer,,TG3CSW35PJ1EL74N
TXN0000000127,ACC00000083,2026-02-01,10:19:43,DEBIT,105170.3,INR,NET_BANKING,SUCCESS,Rent Payment,495927214194,Z9FO83K6SUSUF56B
TXN0000000128,ACC00000183,2024-12-18,02:45:56,DEBIT,185222.92,INR,MOBILE_BANKING,SUCCESS,Bill Payment,129301017812,O2SYUUDU8KG8DKK8
TXN0000000129,ACC00000280,2025-02-07,07:18:35,DEBIT,72431.59,INR,NEFT,SUCCESS,Mutual Fund SIP,823418021910,81Q8FK34KA5VGDGE
TXN0000000130,ACC00000790,2025-09-06,04:44:39,DEBIT,84130.89,INR,RTGS,SUCCESS,Cash Deposit,124279787158,V58HEFJ3PR3Z2EVS
TXN0000000131,ACC00000775,2025-04-14,09:56:17,CREDIT,169997.65,INR,NEFT,PENDING,Cash Deposit,,U4FE8B5WD31G3YP5
TXN0000000132,ACC00000324,2024-06-15,05:51:31,CREDIT,197388.53,INR,IMPS,SUCCESS,UPI Transfer,,I0OPPHODNZL36AYV
TXN0000000133,ACC00000282,2026-02-26,12:42:09,CREDIT,461956.01,INR,IMPS,SUCCESS,EMI Debit,,A58U1Z4GJ69R82CT
TXN0000000134,ACC00000100,2023-12-19,22:44:52,DEBIT,21630.17,INR,BRANCH,SUCCESS,Interest Credit,674544208767,71I1Q5Y5IVDG3KGG
TXN0000000135,ACC00000604,2026-01-01,13:43:34,DEBIT,171629.2,INR,BRANCH,FAILED,Bill Payment,664043156244,MG9O6YTFLS3U13QA
TXN0000000136,ACC00000446,2025-05-05,00:48:11,DEBIT,171483.45,INR,RTGS,SUCCESS,Loan Disbursement,259976211746,TQ4UUU8R67UKNTD5
TXN0000000137,ACC00000111,2024-03-12,03:52:14,CREDIT,74617.89,INR,IMPS,SUCCESS,Online Shopping,,R9LVXX2RHKQ3ZCYA
TXN0000000138,ACC00000728,2024-09-01,09:37:34,DEBIT,111430.38,INR,BRANCH,PENDING,Insurance Premium,171423906890,ZI5E7F0XGJZ55H40
TXN0000000139,ACC00000139,2024-01-04,08:04:48,DEBIT,92941.23,INR,ATM,SUCCESS,FD Maturity Credit,087871616153,34B2DYMW8NRI2EXA
TXN0000000140,ACC00000642,2025-02-20,07:39:53,DEBIT,37388.47,INR,ATM,SUCCESS,Loan Disbursement,469518983725,A8V34WSLOJYB95DB
TXN0000000141,ACC00000151,2024-10-03,18:29:40,CREDIT,20782.52,INR,MOBILE_BANKING,FAILED,Cash Deposit,,81WNIRTBSJ6L78ND
TXN0000000142,ACC00000545,2025-08-29,16:14:29,DEBIT,177081.03,INR,RTGS,FAILED,Online Shopping,831706414256,3AZ704XSFO17E599
TXN0000000143,ACC00000446,2024-02-13,22:38:55,DEBIT,119749.19,INR,MOBILE_BANKING,FAILED,Rent Payment,241776007330,QDUC1IIMI8UJNV0I
TXN0000000144,ACC00000751,2025-11-07,10:53:12,CREDIT,359951.94,INR,UPI,SUCCESS,ATM Withdrawal,,7C3TJNMZSUQH0XOF
TXN0000000145,ACC00000511,2023-07-15,23:34:34,DEBIT,56906.85,INR,IMPS,SUCCESS,EMI Debit,466123814120,400JOT9RP9ABJDTY
TXN0000000146,ACC00000081,2026-03-24,06:25:46,CREDIT,493884.67,INR,NEFT,SUCCESS,Cash Deposit,,4M3Q8UDH20VNMIYV
TXN0000000147,ACC00000776,2025-12-16,00:30:07,DEBIT,129179.02,INR,NET_BANKING,SUCCESS,Salary Credit,738111698028,BRKCYRTUN7R7KL6I
TXN0000000148,ACC00000258,2024-06-03,06:59:29,DEBIT,17927.57,INR,BRANCH,SUCCESS,Loan Disbursement,326829383315,QERKY4NGW8AXLF2D
TXN0000000149,ACC00000771,2026-04-12,20:09:39,DEBIT,12584.05,INR,ATM,SUCCESS,FD Maturity Credit,597389767838,NVY513H1YW3LKNWU
TXN0000000150,ACC00000144,2026-01-19,11:18:12,DEBIT,154060.26,INR,RTGS,SUCCESS,UPI Transfer,699891219759,G8EKQUHLW0CI5KZN
TXN0000000151,ACC00000704,2024-12-06,06:01:39,CREDIT,316683.21,INR,ATM,REVERSED,Bill Payment,,EYXMLBGLA0ACLPKS
TXN0000000152,ACC00000531,2024-11-23,04:38:56,DEBIT,131230.45,INR,NET_BANKING,SUCCESS,Online Shopping,057885393559,M3GTRF7CC7XASXQW
TXN0000000153,ACC00000111,2024-04-06,19:53:16,CREDIT,441636.76,INR,NET_BANKING,SUCCESS,EMI Debit,,O4HB15V6GY29PJ5U
TXN0000000154,ACC00000398,2024-10-16,04:40:59,CREDIT,124708.38,INR,BRANCH,SUCCESS,FD Maturity Credit,,PUN5H82GR4M182S1
TXN0000000155,ACC00000553,2025-05-26,12:49:23,DEBIT,35953.95,INR,ATM,SUCCESS,Interest Credit,176042685177,JKQVWXDWTAH4ADRY
TXN0000000156,ACC00000237,2024-06-03,13:43:44,DEBIT,18235.37,INR,UPI,SUCCESS,Fund Transfer,071143828156,GQFSA8GFA11I1SEI
TXN0000000157,ACC00000774,2024-01-12,03:08:12,CREDIT,135337.71,INR,RTGS,SUCCESS,EMI Debit,,J8YP1WWPKABSOUET
TXN0000000158,ACC00000461,2025-04-10,21:59:20,DEBIT,41793.18,INR,MOBILE_BANKING,REVERSED,Rent Payment,023612084244,D6IWM0VUKHLDEAKQ
TXN0000000159,ACC00000441,2024-12-08,03:10:40,CREDIT,115675.15,INR,MOBILE_BANKING,PENDING,Cash Deposit,,NRT2SK02FUSM5E73
TXN0000000160,ACC00000741,2025-07-21,05:25:43,CREDIT,251363.31,INR,NEFT,SUCCESS,FD Maturity Credit,,KMP08IRDC8AH1H71
TXN0000000161,ACC00000569,2024-07-30,17:04:35,DEBIT,166417.5,INR,RTGS,SUCCESS,EMI Debit,497344868862,RRM9XMFJZRF766SU
TXN0000000162,ACC00000609,2024-12-18,14:34:18,DEBIT,166747.12,INR,RTGS,SUCCESS,EMI Debit,530122050130,GUH1IK66LXZ5TBOY
TXN0000000163,ACC00000049,2025-06-28,21:04:03,CREDIT,458235.59,INR,NET_BANKING,SUCCESS,EMI Debit,,ZX6KWFUZMK9DA8SD
TXN0000000164,ACC00000180,2023-01-25,22:05:58,DEBIT,31075.33,INR,MOBILE_BANKING,SUCCESS,EMI Debit,785445053825,98GYNJ3UJXL3MOYU
TXN0000000165,ACC00000442,2024-05-28,09:53:16,CREDIT,12531.35,INR,BRANCH,SUCCESS,Mutual Fund SIP,,9Y6DVHC6NCL52JT2
TXN0000000166,ACC00000673,2024-10-31,07:25:04,DEBIT,30945.45,INR,BRANCH,PENDING,Fund Transfer,970399803912,IM2LWP2HSQ97ZL6R
TXN0000000167,ACC00000073,2023-03-08,07:51:49,DEBIT,36491.55,INR,NET_BANKING,SUCCESS,FD Maturity Credit,633906029215,MA6MXG8AR0EE0FA2
